"","person_code","perceiver.id","target.id","Knowing","Liking","Meta_Liking","Friend","Leader"
"1","AB04KE",4,63,2,3,4,0,0
"2","AB04KE",4,72,NA,NA,NA,NA,NA
"3","AB04KE",4,64,2,4,4,0,0
"4","AB04KE",4,71,NA,NA,NA,NA,NA
"5","AB04KE",4,62,3,4,4,0,1
"6","AB04KE",4,24,3,4,4,0,0
"7","AB04KE",4,25,3,4,4,0,1
"8","AB04KE",4,65,3,5,4,0,0
"9","AB04KE",4,66,2,5,5,0,0
"10","AB04KE",4,68,1,NA,NA,NA,NA
"11","AB04KE",4,69,NA,NA,NA,NA,NA
"12","AB04KE",4,70,NA,NA,NA,NA,NA
"13","AB04KE",4,36,2,5,5,0,0
"14","AB04KE",4,37,2,4,4,0,0
"15","AB04KE",4,19,2,3,4,0,0
"16","AB04KE",4,21,1,NA,NA,NA,NA
"17","AB04KE",4,22,2,4,4,0,0
"18","AB04KE",4,23,5,5,5,1,0
"19","AB04KE",4,5,4,4,4,0,0
"20","AB04KE",4,6,2,4,4,0,0
"21","AB04KE",4,26,5,4,5,1,0
"22","AB04KE",4,27,3,4,5,0,0
"23","AB04KE",4,28,2,4,4,0,0
"24","AB04KE",4,29,3,5,4,0,0
"25","AB04KE",4,35,2,2,3,0,0
"26","AB04KE",4,15,2,5,5,0,0
"27","AB04KE",4,17,4,6,6,1,1
"28","AB04KE",4,18,4,5,5,0,0
"29","AB04KE",4,39,3,5,5,0,0
"30","AB04KE",4,40,1,NA,NA,NA,NA
"31","AB04KE",4,41,1,NA,NA,NA,NA
"32","AB04KE",4,42,3,5,5,0,0
"33","AB04KE",4,43,5,6,6,1,0
"34","AB04KE",4,7,3,5,4,0,1
"35","AB04KE",4,9,3,5,5,0,1
"36","AB04KE",4,10,2,2,4,0,1
"37","AB04KE",4,12,3,3,4,0,0
"38","AB04KE",4,13,4,6,6,0,0
"39","AB04KE",4,50,3,5,5,0,1
"40","AB04KE",4,51,3,4,4,0,1
"41","AB04KE",4,52,3,5,5,0,0
"42","AB04KE",4,53,2,4,4,0,0
"43","AB04KE",4,54,1,NA,NA,NA,NA
"44","AB04KE",4,57,4,4,5,0,0
"45","AB04KE",4,61,3,3,4,0,0
"46","AB04KE",4,4,NA,NA,NA,NA,NA
"47","AB04KE",4,47,3,5,5,0,1
"48","AB04KE",4,44,5,5,5,1,1
"49","AB04KE",4,45,4,4,4,0,1
"50","AB04KE",4,46,4,5,5,0,0
"51","AB04KE",4,48,2,3,4,0,0
"52","AB04KE",4,49,2,4,4,0,0
"53","AB11KL",7,54,2,3,3,0,0
"54","AB11KL",7,49,2,3,3,0,0
"55","AB11KL",7,52,2,3,3,0,0
"56","AB11KL",7,53,2,3,3,0,0
"57","AB11KL",7,17,2,3,3,0,0
"58","AB11KL",7,51,4,4,4,0,0
"59","AB11KL",7,15,2,3,3,0,0
"60","AB11KL",7,22,3,3,3,0,0
"61","AB11KL",7,18,3,3,3,0,1
"62","AB11KL",7,19,1,NA,NA,NA,NA
"63","AB11KL",7,21,2,3,3,0,0
"64","AB11KL",7,48,2,3,3,0,0
"65","AB11KL",7,27,2,3,3,0,0
"66","AB11KL",7,50,3,4,3,0,0
"67","AB11KL",7,72,NA,NA,NA,NA,NA
"68","AB11KL",7,71,NA,NA,NA,NA,NA
"69","AB11KL",7,35,3,2,3,0,0
"70","AB11KL",7,36,2,3,3,0,0
"71","AB11KL",7,37,3,4,4,0,0
"72","AB11KL",7,57,3,2,3,0,0
"73","AB11KL",7,61,2,3,3,0,0
"74","AB11KL",7,23,2,2,3,0,0
"75","AB11KL",7,24,3,4,4,0,0
"76","AB11KL",7,25,2,4,3,0,0
"77","AB11KL",7,26,2,3,3,0,0
"78","AB11KL",7,47,4,6,4,0,1
"79","AB11KL",7,46,3,3,3,0,0
"80","AB11KL",7,28,2,3,3,0,0
"81","AB11KL",7,29,2,3,4,0,0
"82","AB11KL",7,70,NA,NA,NA,NA,NA
"83","AB11KL",7,13,2,3,3,0,0
"84","AB11KL",7,42,2,3,3,0,0
"85","AB11KL",7,39,2,5,4,0,0
"86","AB11KL",7,40,2,3,3,0,0
"87","AB11KL",7,41,2,3,3,0,0
"88","AB11KL",7,66,4,4,4,0,1
"89","AB11KL",7,43,2,3,3,0,0
"90","AB11KL",7,44,2,3,3,0,0
"91","AB11KL",7,45,2,3,3,0,0
"92","AB11KL",7,65,2,3,3,0,0
"93","AB11KL",7,68,1,NA,NA,NA,NA
"94","AB11KL",7,69,NA,NA,NA,NA,NA
"95","AB11KL",7,12,2,3,3,0,0
"96","AB11KL",7,5,4,3,3,0,1
"97","AB11KL",7,62,2,4,3,0,0
"98","AB11KL",7,63,2,2,3,0,0
