"Group" "Actor" "Partner" "Dyad" "y" "x1_act"
1 1 2 1 2.94047964112474 -0.368018337499372
1 2 1 1 3.15642515916967 0.0456678309122959
1 1 3 2 3.89705897097737 -0.368018337499372
1 3 1 2 3.00286050571772 -0.019778244610843
1 1 4 3 2.73319212967529 -0.368018337499372
1 4 1 3 4.79649698518401 -0.0538152318181611
1 1 5 4 3.421211550915 -0.368018337499372
1 5 1 4 3.97192583910571 -0.65386738677
1 2 3 5 1.74824576062785 0.0456678309122959
1 3 2 5 2.42905877252855 -0.019778244610843
1 2 4 6 1.34921577329225 0.0456678309122959
1 4 2 6 2.93818954392651 -0.0538152318181611
1 2 5 7 3.26012090847515 0.0456678309122959
1 5 2 7 2.41480857600401 -0.65386738677
1 3 4 8 3.08353609689405 -0.019778244610843
1 4 3 8 3.15213364487187 -0.0538152318181611
1 3 5 9 2.35319450790834 -0.019778244610843
1 5 3 9 1.74062890810649 -0.65386738677
1 4 5 10 2.81211273175251 -0.0538152318181611
1 5 4 10 1.8316497124542 -0.65386738677
2 1 2 1 3.55758087660543 0.364693669352524
2 2 1 1 2.33507375254427 -0.647466239480013
2 1 3 2 2.40617445634519 0.364693669352524
2 3 1 2 3.32599059555393 -0.0797613269447538
2 1 4 3 2.45997981822378 0.364693669352524
2 4 1 3 3.05932257217159 -2.03041141911855
2 1 5 4 2.45248847812369 0.364693669352524
2 5 1 4 1.68018749702031 -1.39999267509076
2 2 3 5 3.42504967579452 -0.647466239480013
2 3 2 5 4.72524958982394 -0.0797613269447538
2 2 4 6 2.67895891831527 -0.647466239480013
2 4 2 6 2.61956626839772 -2.03041141911855
2 2 5 7 2.99183648884281 -0.647466239480013
2 5 2 7 2.15576340814664 -1.39999267509076
2 3 4 8 3.92853953342947 -0.0797613269447538
2 4 3 8 3.79277981077606 -2.03041141911855
2 3 5 9 3.25812796952561 -0.0797613269447538
2 5 3 9 2.30894980754991 -1.39999267509076
2 4 5 10 2.28794637930434 -2.03041141911855
2 5 4 10 3.78342876433032 -1.39999267509076
3 1 2 1 3.20297313366818 0.691385585586878
3 2 1 1 2.06652059247744 -1.11142948415708
3 1 3 2 2.73344051691569 0.691385585586878
3 3 1 2 2.30636488403593 -0.451230033443599
3 1 4 3 2.54791204376575 0.691385585586878
3 4 1 3 2.5404196248957 0.446522599887819
3 1 5 4 1.46039515155378 0.691385585586878
3 5 1 4 3.0456582381192 -0.0278982172194628
3 2 3 5 2.45622266061345 -1.11142948415708
3 3 2 5 3.41368302757545 -0.451230033443599
3 2 4 6 2.56960909085639 -1.11142948415708
3 4 2 6 2.80293414178906 0.446522599887819
3 2 5 7 3.09377614345626 -1.11142948415708
3 5 2 7 4.96167726127909 -0.0278982172194628
3 3 4 8 1.53763146483982 -0.451230033443599
3 4 3 8 3.84612729594633 0.446522599887819
3 3 5 9 2.17262882505009 -0.451230033443599
3 5 3 9 3.74243757944482 -0.0278982172194628
3 4 5 10 2.54918577046017 0.446522599887819
3 5 4 10 1.99757881459199 -0.0278982172194628
4 1 2 1 2.95865083183424 0.129312148804066
4 2 1 1 1.9156351541408 1.28600169783871
4 1 3 2 3.74044444383249 0.129312148804066
4 3 1 2 -0.0632678557015374 -1.43244159424618
4 1 4 3 3.65914932612004 0.129312148804066
4 4 1 3 1.58967286083007 0.57615274591913
4 1 5 4 3.80363729940824 0.129312148804066
4 5 1 4 2.72924387774838 -0.0289576908397107
4 2 3 5 5.40520357840989 1.28600169783871
4 3 2 5 2.30453526397092 -1.43244159424618
4 2 4 6 4.1425564863866 1.28600169783871
4 4 2 6 2.09149978028728 0.57615274591913
4 2 5 7 3.66594235988357 1.28600169783871
4 5 2 7 4.52951462359393 -0.0289576908397107
4 3 4 8 2.44071939381356 -1.43244159424618
4 4 3 8 3.61275118149309 0.57615274591913
4 3 5 9 1.57428881650937 -1.43244159424618
4 5 3 9 3.75384286354667 -0.0289576908397107
4 4 5 10 2.39968565483464 0.57615274591913
4 5 4 10 3.30372391480279 -0.0289576908397107
5 1 2 1 3.50511871184727 0.461058591480204
5 2 1 1 2.58669462082513 -1.08586894331871
5 1 3 2 3.95348763861965 0.461058591480204
5 3 1 2 2.22708765188778 -0.422519757740816
5 1 4 3 4.66799634034559 0.461058591480204
5 4 1 3 3.7964966241723 -0.742951593609827
5 1 5 4 4.81530174714523 0.461058591480204
5 5 1 4 3.26435220117843 -0.622273431825335
5 2 3 5 1.64413911519313 -1.08586894331871
5 3 2 5 3.20167551421048 -0.422519757740816
5 2 4 6 3.09781809592318 -1.08586894331871
5 4 2 6 0.87942426683573 -0.742951593609827
5 2 5 7 0.98654901019244 -1.08586894331871
5 5 2 7 1.82807964943722 -0.622273431825335
5 3 4 8 2.15681850793123 -0.422519757740816
5 4 3 8 2.96965849439948 -0.742951593609827
5 3 5 9 3.18407109673199 -0.422519757740816
5 5 3 9 3.13848119021723 -0.622273431825335
5 4 5 10 2.77848103289637 -0.742951593609827
5 5 4 10 3.22515155843229 -0.622273431825335
6 1 2 1 3.56118461998672 -0.618369278510602
6 2 1 1 5.05800009184984 0.474422304934275
6 1 3 2 2.29736506028485 -0.618369278510602
6 3 1 2 3.45212137048669 0.62056278036942
6 1 4 3 1.77469213132868 -0.618369278510602
6 4 1 3 2.14762813007499 -0.654451572905954
6 1 5 4 3.15784425095765 -0.618369278510602
6 5 1 4 3.26485267887654 -0.74383192120854
6 2 3 5 3.37434755169092 0.474422304934275
6 3 2 5 2.84081660862127 0.62056278036942
6 2 4 6 4.28080138607019 0.474422304934275
6 4 2 6 2.63498401004394 -0.654451572905954
6 2 5 7 5.3118849562494 0.474422304934275
6 5 2 7 3.5415382984661 -0.74383192120854
6 3 4 8 4.06240766987227 0.62056278036942
6 4 3 8 2.24268860278117 -0.654451572905954
6 3 5 9 3.31681449439209 0.62056278036942
6 5 3 9 0.216322553515528 -0.74383192120854
6 4 5 10 1.69277918547842 -0.654451572905954
6 5 4 10 2.36828599172633 -0.74383192120854
7 1 2 1 3.2025168909803 -1.09684181406748
7 2 1 1 3.03014037256376 0.182905192240726
7 1 3 2 2.84357854986841 -1.09684181406748
7 3 1 2 2.35133365957562 -1.39577561561278
7 1 4 3 2.51761713300238 -1.09684181406748
7 4 1 3 1.10813905786177 -1.26087121400932
7 1 5 4 2.48498492803976 -1.09684181406748
7 5 1 4 3.62179604248856 0.578037383749701
7 2 3 5 2.93142795478749 0.182905192240726
7 3 2 5 1.79682656379687 -1.39577561561278
7 2 4 6 1.37276635686199 0.182905192240726
7 4 2 6 2.13329159206669 -1.26087121400932
7 2 5 7 3.0064031044663 0.182905192240726
7 5 2 7 2.43175626581052 0.578037383749701
7 3 4 8 2.21164329420577 -1.39577561561278
7 4 3 8 2.34364127255599 -1.26087121400932
7 3 5 9 3.10294480714242 -1.39577561561278
7 5 3 9 2.08084644966497 0.578037383749701
7 4 5 10 2.54716654585958 -1.26087121400932
7 5 4 10 1.86207701897873 0.578037383749701
8 1 2 1 2.98453212029671 -2.60105077395523
8 2 1 1 2.96247035514654 -0.765235068038528
8 1 3 2 2.08739471583915 -2.60105077395523
8 3 1 2 3.1449279097558 -0.774246729260148
8 1 4 3 2.84428065660342 -2.60105077395523
8 4 1 3 3.15166952801492 -0.874227480460288
8 1 5 4 4.08540139017368 -2.60105077395523
8 5 1 4 2.79848024382011 0.410778177226465
8 2 3 5 2.1137817386312 -0.765235068038528
8 3 2 5 3.52322351812526 -0.774246729260148
8 2 4 6 2.30722810422637 -0.765235068038528
8 4 2 6 2.16753505263699 -0.874227480460288
8 2 5 7 2.83700621421207 -0.765235068038528
8 5 2 7 3.38056328292085 0.410778177226465
