"","person_code","perceiver.id","target.id","Knowing","Liking","Meta_Liking","Friend","Leader"
"1","AN04MA",56,24,2,4,4,2,2
"2","AN04MA",56,13,2,4,4,2,2
"3","AN04MA",56,35,3,5,4,2,2
"4","AN04MA",56,19,4,6,5,2,1
"5","AN04MA",56,NA,NA,NA,NA,NA,NA
"6","AN04MA",56,20,3,5,4,2,1
"7","AN04MA",56,12,4,6,5,2,2
"8","AN04MA",56,3,4,2,3,2,2
"9","AN04MA",56,56,NA,NA,NA,NA,NA
"10","AN04MA",56,46,3,4,4,2,2
"11","AN04MA",56,25,2,4,4,2,1
"12","AN04MA",56,4,3,6,5,2,1
"13","AN04MA",56,47,5,5,4,1,2
"14","AN04MA",56,26,4,4,4,2,1
"15","AN04MA",56,61,4,4,4,2,2
"16","AN04MA",56,40,4,6,5,1,2
"17","AN04MA",56,62,3,6,4,1,2
"18","AN04MA",56,41,2,4,4,2,2
"19","AN04MA",56,45,5,6,5,1,2
"20","AN04MA",56,28,3,5,4,2,2
"21","AN04MA",56,63,6,6,5,1,2
"22","AN04MA",56,74,5,5,4,2,2
"23","AN04MA",56,21,6,6,5,1,1
"24","AN04MA",56,64,4,3,4,2,2
"25","AN04MA",56,71,4,6,5,2,2
"26","AN04MA",56,43,4,5,4,2,2
"27","AN04MA",56,18,2,4,4,2,2
"28","AN04MA",56,9,5,6,5,2,1
"29","AN04MA",56,14,2,5,4,2,1
"30","AN04MA",56,27,2,4,4,2,2
"31","AN04MA",56,6,3,4,4,2,1
"32","AN04MA",56,49,5,5,5,1,2
"33","AN04MA",56,66,2,4,4,2,2
"34","AN04MA",56,73,3,5,4,2,2
"35","AN04MA",56,42,2,4,4,2,1
"36","AN04MA",56,34,2,4,4,2,2
"37","AN04MA",56,29,4,6,5,2,2
"38","AN04MA",56,8,3,6,5,2,2
"39","AN04MA",56,51,2,5,4,2,2
"40","AN04MA",56,30,2,5,4,2,2
"41","AN04MA",56,39,2,4,4,2,2
"42","AN04MA",56,5,6,6,5,1,2
"43","AN04MA",56,48,4,6,5,1,2
"44","AN04MA",56,44,2,5,4,2,2
"45","AN04MA",56,23,2,4,4,2,2
"46","AN04MA",56,2,4,6,5,2,2
"47","AN04MA",56,54,2,3,4,2,2
"48","AN04MA",56,55,2,4,4,2,2
"49","AN04MA",56,50,5,6,5,1,2
"50","AN04MA",56,59,3,6,4,2,2
"51","AN04MA",56,38,3,6,5,2,2
"52","AN04MA",56,17,6,6,5,1,2
"53","AN04MA",56,60,3,5,4,2,2
"54","AN04MA",56,36,3,4,4,2,2
"55","AN04MA",56,52,2,5,4,2,2
"56","AN04MA",56,72,3,5,4,2,1
"57","AN04MA",56,57,4,6,5,2,2
"58","AN04MA",56,16,4,6,4,2,1
"59","AN04MA",56,15,4,5,4,2,2
"60","AN04MA",56,58,3,5,4,2,2
"61","AN04MA",56,7,2,5,4,2,2
"62","AN04MA",56,22,3,4,4,2,2
"63","AN04MA",56,37,2,5,4,2,2
"64","AN04MA",56,65,3,6,5,2,2
"65","AN04MA",56,53,2,4,4,2,2
"66","AN04MA",56,33,3,5,4,2,2
"67","AN04MA",56,1,5,6,5,1,2
"68","AN04MA",56,31,2,4,4,2,1
"69","AN04MA",56,10,6,6,5,1,2
"70","AN04MA",56,11,2,3,4,2,2
"71","AN04MA",56,32,2,4,4,2,2
"72","AN09DI",4,9,3,5,3,2,1
"73","AN09DI",4,10,2,4,3,2,2
"74","AN09DI",4,53,2,4,4,2,2
"75","AN09DI",4,52,1,NA,NA,NA,NA
"76","AN09DI",4,31,2,4,3,2,2
"77","AN09DI",4,64,3,5,3,2,1
"78","AN09DI",4,71,3,3,3,2,2
"79","AN09DI",4,32,2,3,3,2,2
"80","AN09DI",4,22,2,3,3,2,2
"81","AN09DI",4,1,2,4,4,2,2
"82","AN09DI",4,65,2,3,3,2,2
"83","AN09DI",4,43,4,4,4,2,1
"84","AN09DI",4,44,2,3,3,2,2
"85","AN09DI",4,11,2,3,3,2,2
"86","AN09DI",4,54,2,3,3,2,2
"87","AN09DI",4,72,3,5,5,2,1
"88","AN09DI",4,33,4,5,4,2,2
"89","AN09DI",4,12,3,4,4,2,1
"90","AN09DI",4,38,2,4,4,2,2
"91","AN09DI",4,17,2,4,3,2,2
"92","AN09DI",4,60,3,4,4,2,2
"93","AN09DI",4,39,2,2,2,2,2
"94","AN09DI",4,18,3,4,4,2,2
"95","AN09DI",4,61,2,5,3,2,1
"96","AN09DI",4,40,2,3,4,2,2
"97","AN09DI",4,19,2,4,4,2,1
"98","AN09DI",4,23,2,4,4,2,1
"99","AN09DI",4,2,4,5,5,1,2
"100","AN09DI",4,66,2,4,3,2,2
"101","AN09DI",4,16,2,3,3,2,2
"102","AN09DI",4,59,3,4,4,2,1
"103","AN09DI",4,21,2,4,3,2,2
"104","AN09DI",4,29,2,3,4,2,2
"105","AN09DI",4,8,4,5,5,2,1
"106","AN09DI",4,51,2,4,3,2,2
"107","AN09DI",4,30,3,4,4,2,2
"108","AN09DI",4,35,2,3,3,2,2
"109","AN09DI",4,14,3,4,3,2,1
"110","AN09DI",4,57,2,4,4,2,2
"111","AN09DI",4,36,2,2,3,2,2
"112","AN09DI",4,15,3,4,4,2,2
"113","AN09DI",4,58,3,4,4,2,2
"114","AN09DI",4,37,1,NA,NA,NA,NA
"115","AN09DI",4,63,2,3,3,2,2
"116","AN09DI",4,73,1,NA,NA,NA,NA
"117","AN09DI",4,55,2,3,3,2,2
"118","AN09DI",4,34,2,3,3,2,2
"119","AN09DI",4,13,3,4,4,2,2
"120","AN09DI",4,56,3,3,3,2,2
"121","AN09DI",4,24,2,3,2,2,2
"122","AN09DI",4,3,2,4,4,2,2
"123","AN09DI",4,26,2,4,3,2,2
"124","AN09DI",4,5,2,3,3,2,2
"125","AN09DI",4,62,2,3,3,2,2
"126","AN09DI",4,41,4,4,4,2,1
"127","AN09DI",4,20,2,3,3,2,2
"128","AN09DI",4,NA,NA,NA,NA,NA,NA
"129","AN09DI",4,42,3,4,4,2,2
"130","AN09DI",4,28,3,4,4,2,2
"131","AN09DI",4,7,2,2,2,2,2
"132","AN09DI",4,50,1,NA,NA,NA,NA
"133","AN09DI",4,45,2,4,4,2,2
"134","AN09DI",4,25,2,4,4,2,2
"135","AN09DI",4,4,NA,NA,NA,NA,NA
"136","AN09DI",4,74,4,5,5,2,2
"137","AN09DI",4,46,2,3,4,2,2
"138","AN09DI",4,6,3,4,4,2,1
"139","AN09DI",4,49,2,4,4,2,2
"140","AN09DI",4,47,2,3,3,2,2
"141","AN09DI",4,27,2,2,3,2,2
"142","AN09DI",4,48,2,2,3,2,2
"143","AN09RO",41,15,5,5,5,2,2
"144","AN09RO",41,36,3,4,4,2,2
"145","AN09RO",41,57,4,6,5,2,2
"146","AN09RO",41,4,4,4,3,2,1
"147","AN09RO",41,11,3,4,4,2,2
"148","AN09RO",41,10,2,1,1,2,2
"149","AN09RO",41,14,5,3,4,2,1
"150","AN09RO",41,33,2,3,3,2,2
"151","AN09RO",41,58,4,5,4,2,1
"152","AN09RO",41,56,2,4,4,2,2
"153","AN09RO",41,54,2,3,3,2,2
"154","AN09RO",41,25,6,4,6,2,1
"155","AN09RO",41,34,4,6,5,2,1
"156","AN09RO",41,47,2,3,3,2,2
"157","AN09RO",41,72,6,6,5,1,1
"158","AN09RO",41,37,2,3,3,2,2
"159","AN09RO",41,65,3,1,2,2,1
"160","AN09RO",41,32,6,5,6,1,1
"161","AN09RO",41,16,6,4,4,1,1
"162","AN09RO",41,42,6,6,6,1,1
"163","AN09RO",41,64,3,4,4,2,2
"164","AN09RO",41,12,2,2,2,2,2
"165","AN09RO",41,46,4,5,5,2,2
"166","AN09RO",41,35,2,3,3,2,2
"167","AN09RO",41,1,2,4,4,2,2
"168","AN09RO",41,29,2,2,3,2,2
"169","AN09RO",41,8,3,5,4,2,2
"170","AN09RO",41,51,4,1,4,2,1
"171","AN09RO",41,NA,NA,NA,NA,NA,NA
"172","AN09RO",41,66,3,5,4,2,2
"173","AN09RO",41,53,6,5,5,1,2
"174","AN09RO",41,63,2,2,2,2,2
"175","AN09RO",41,5,3,4,3,2,2
"176","AN09RO",41,73,2,1,3,2,1
"177","AN09RO",41,45,2,4,3,2,2
"178","AN09RO",41,24,5,5,5,2,1
"179","AN09RO",41,13,6,6,6,1,1
"180","AN09RO",41,74,3,5,4,2,1
"181","AN09RO",41,18,6,5,5,1,2
"182","AN09RO",41,61,2,4,4,2,2
"183","AN09RO",41,40,4,3,4,2,1
"184","AN09RO",41,30,4,6,4,2,1
"185","AN09RO",41,2,2,5,4,2,1
"186","AN09RO",41,20,4,5,4,2,2
"187","AN09RO",41,31,3,3,4,2,2
"188","AN09RO",41,52,2,4,4,2,2
"189","AN09RO",41,59,2,3,3,2,2
"190","AN09RO",41,21,2,4,4,2,2
"191","AN09RO",41,71,3,2,2,2,2
"192","AN09RO",41,55,2,2,3,2,2
"193","AN09RO",41,22,2,2,3,2,2
"194","AN09RO",41,50,2,5,4,2,2
"195","AN09RO",41,44,3,4,4,2,2
"196","AN09RO",41,26,6,6,5,1,2
"197","AN09RO",41,19,6,5,5,1,1
"198","AN09RO",41,27,3,4,4,2,2
"199","AN09RO",41,6,5,5,5,2,2
"200","AN09RO",41,49,4,5,4,2,2
"201","AN09RO",41,9,6,5,5,2,1
"202","AN09RO",41,3,4,3,5,2,2
"203","AN09RO",41,39,2,3,3,2,2
"204","AN09RO",41,62,2,4,4,2,2
"205","AN09RO",41,43,3,3,4,2,2
"206","AN09RO",41,28,2,4,4,2,2
"207","AN09RO",41,7,2,1,3,2,2
"208","AN09RO",41,48,2,4,4,2,2
"209","AN09RO",41,23,3,2,2,2,2
"210","AN09RO",41,41,NA,NA,NA,NA,NA
"211","AN09RO",41,17,2,3,3,2,2
"212","AN09RO",41,38,4,2,3,2,2
"213","AN09RO",41,60,4,4,4,2,2
"214","AN11WO",7,12,2,5,5,2,1
"215","AN11WO",7,34,3,5,5,2,1
"216","AN11WO",7,33,3,5,5,2,1
"217","AN11WO",7,50,4,5,5,2,1
"218","AN11WO",7,14,4,5,5,2,1
"219","AN11WO",7,13,3,5,5,2,1
"220","AN11WO",7,57,2,5,5,2,1
"221","AN11WO",7,55,3,5,5,2,1
"222","AN11WO",7,49,5,6,5,1,1
"223","AN11WO",7,47,5,6,6,1,1
"224","AN11WO",7,7,NA,NA,NA,NA,NA
"225","AN11WO",7,45,2,5,5,2,1
"226","AN11WO",7,24,3,5,5,2,1
"227","AN11WO",7,3,3,5,5,2,1
"228","AN11WO",7,74,5,6,5,2,1
"229","AN11WO",7,56,3,5,5,2,1
"230","AN11WO",7,35,3,5,5,2,1
"231","AN11WO",7,4,2,5,5,2,1
"232","AN11WO",7,5,3,5,5,2,1
"233","AN11WO",7,48,2,5,5,2,1
"234","AN11WO",7,27,3,5,5,2,1
"235","AN11WO",7,6,4,5,5,2,1
"236","AN11WO",7,28,4,5,5,2,1
"237","AN11WO",7,54,2,5,5,2,1
"238","AN11WO",7,42,4,5,5,2,1
"239","AN11WO",7,21,5,6,6,2,1
"240","AN11WO",7,64,3,5,5,2,1
"241","AN11WO",7,71,3,5,5,2,1
"242","AN11WO",7,46,5,5,5,2,1
"243","AN11WO",7,25,3,5,5,2,1
"244","AN11WO",7,26,3,5,5,2,1
"245","AN11WO",7,39,3,5,5,2,1
"246","AN11WO",7,18,2,5,5,2,1
"247","AN11WO",7,61,3,5,5,2,1
"248","AN11WO",7,NA,NA,NA,NA,NA,NA
"249","AN11WO",7,20,5,5,5,2,1
"250","AN11WO",7,63,4,5,5,2,1
"251","AN11WO",7,73,3,5,5,2,1
"252","AN11WO",7,32,3,4,4,2,1
"253","AN11WO",7,37,3,5,5,2,1
"254","AN11WO",7,16,3,5,5,2,1
"255","AN11WO",7,59,2,5,5,2,1
"256","AN11WO",7,43,3,5,5,2,1
"257","AN11WO",7,22,4,6,6,2,1
"258","AN11WO",7,1,4,6,6,2,1
"259","AN11WO",7,65,5,6,6,1,1
"260","AN11WO",7,72,4,5,5,2,1
"261","AN11WO",7,40,2,5,5,2,1
"262","AN11WO",7,19,3,5,5,2,1
"263","AN11WO",7,62,6,6,6,1,1
"264","AN11WO",7,41,3,5,5,2,1
"265","AN11WO",7,11,5,5,5,2,1
"266","AN11WO",7,53,3,5,5,2,1
"267","AN11WO",7,60,3,5,5,2,1
"268","AN11WO",7,8,3,5,5,2,1
"269","AN11WO",7,38,3,5,5,2,1
"270","AN11WO",7,17,3,5,5,2,1
"271","AN11WO",7,23,3,5,5,2,1
"272","AN11WO",7,2,2,5,5,2,1
"273","AN11WO",7,51,5,6,6,2,1
"274","AN11WO",7,44,6,6,6,1,1
"275","AN11WO",7,30,3,5,5,2,1
"276","AN11WO",7,29,6,6,6,1,1
"277","AN11WO",7,66,4,5,5,2,1
"278","AN11WO",7,58,2,5,5,2,1
"279","AN11WO",7,10,3,5,5,2,1
"280","AN11WO",7,9,3,5,5,2,1
"281","AN11WO",7,36,3,5,5,2,1
"282","AN11WO",7,15,3,5,5,2,1
"283","AN11WO",7,31,3,4,4,2,1
"284","AN11WO",7,52,2,4,4,2,1
"285","AN13FR",52,51,3,3,3,2,2
"286","AN13FR",52,9,3,3,3,2,1
"287","AN13FR",52,52,NA,NA,NA,NA,NA
"288","AN13FR",52,29,2,3,3,2,2
"289","AN13FR",52,8,3,4,3,2,2
"290","AN13FR",52,30,2,4,3,2,2
"291","AN13FR",52,26,2,3,3,2,2
"292","AN13FR",52,5,2,3,3,2,2
"293","AN13FR",52,19,2,4,3,2,2
"294","AN13FR",52,7,3,1,3,2,2
"295","AN13FR",52,56,2,3,3,2,2
"296","AN13FR",52,21,2,3,3,2,2
"297","AN13FR",52,64,2,2,3,2,2
"298","AN13FR",52,62,2,3,3,2,2
"299","AN13FR",52,42,2,4,3,2,2
"300","AN13FR",52,27,2,3,3,2,2
"301","AN13FR",52,35,2,3,3,2,2
"302","AN13FR",52,14,2,2,3,2,2
"303","AN13FR",52,57,2,4,3,2,2
"304","AN13FR",52,58,3,4,3,2,1
"305","AN13FR",52,50,2,3,3,2,2
"306","AN13FR",52,54,2,3,3,2,2
"307","AN13FR",52,33,3,4,3,2,2
"308","AN13FR",52,37,2,3,3,2,2
"309","AN13FR",52,16,2,3,3,2,2
"310","AN13FR",52,59,2,3,3,2,2
"311","AN13FR",52,71,2,3,3,2,2
"312","AN13FR",52,4,2,3,3,2,1
"313","AN13FR",52,25,2,3,3,2,1
"314","AN13FR",52,6,2,4,3,2,1
"315","AN13FR",52,49,2,3,3,2,2
"316","AN13FR",52,28,2,2,3,2,2
"317","AN13FR",52,18,2,3,3,2,2
"318","AN13FR",52,15,2,3,3,2,2
"319","AN13FR",52,11,2,3,3,2,2
"320","AN13FR",52,40,2,4,3,2,1
"321","AN13FR",52,41,2,3,3,2,2
"322","AN13FR",52,20,2,3,3,2,2
"323","AN13FR",52,63,2,3,3,2,2
"324","AN13FR",52,38,2,3,3,2,2
"325","AN13FR",52,48,2,3,3,2,2
"326","AN13FR",52,17,2,3,3,2,2
"327","AN13FR",52,46,2,3,3,2,2
"328","AN13FR",52,31,2,3,3,2,2
"329","AN13FR",52,47,2,3,3,2,2
"330","AN13FR",52,NA,NA,NA,NA,NA,NA
"331","AN13FR",52,61,2,2,3,2,2
"332","AN13FR",52,36,2,3,3,2,2
"333","AN13FR",52,44,2,3,3,2,2
"334","AN13FR",52,23,2,3,3,2,2
"335","AN13FR",52,66,2,3,3,2,2
"336","AN13FR",52,12,2,3,3,2,2
"337","AN13FR",52,73,2,3,3,2,2
"338","AN13FR",52,45,2,3,3,2,2
"339","AN13FR",52,3,2,4,3,2,2
"340","AN13FR",52,60,2,3,3,2,2
"341","AN13FR",52,13,2,3,3,2,2
"342","AN13FR",52,10,2,3,3,2,2
"343","AN13FR",52,39,3,4,3,2,2
"344","AN13FR",52,32,2,2,3,2,2
"345","AN13FR",52,65,3,4,3,2,2
"346","AN13FR",52,72,2,2,3,2,2
"347","AN13FR",52,2,2,3,3,2,1
"348","AN13FR",52,24,3,1,3,2,2
"349","AN13FR",52,74,3,4,3,2,2
"350","AN13FR",52,34,2,2,3,2,2
"351","AN13FR",52,43,2,3,3,2,2
"352","AN13FR",52,53,2,4,3,2,2
"353","AN13FR",52,1,2,3,3,2,2
"354","AN13FR",52,55,2,4,3,2,2
"355","AN13FR",52,22,2,3,3,2,2
"356","AN13TR",49,73,4,4,4,2,1
"357","AN13TR",49,54,2,4,4,2,2
"358","AN13TR",49,16,5,5,4,2,1
"359","AN13TR",49,46,3,5,4,2,1
"360","AN13TR",49,22,5,4,4,2,2
"361","AN13TR",49,32,4,4,4,2,1
"362","AN13TR",49,11,2,3,3,2,2
"363","AN13TR",49,44,5,6,5,2,2
"364","AN13TR",49,66,4,4,4,2,1
"365","AN13TR",49,53,4,4,4,2,1
"366","AN13TR",49,74,3,4,4,2,1
"367","AN13TR",49,50,5,5,5,2,1
"368","AN13TR",49,37,2,4,4,2,2
"369","AN13TR",49,55,2,4,3,2,2
